Region,Walmart: (2020)
Arkansas,100
Mississippi,88
West Virginia,85
Alabama,78
Louisiana,78
Oklahoma,75
Kentucky,73
Tennessee,70
New Mexico,69
South Carolina,68
Kansas,67
Georgia,66
Missouri,66
Iowa,65
North Carolina,63
Wyoming,63
Texas,63
South Dakota,63
Indiana,62
Nebraska,61
North Dakota,61
Maine,60
Arizona,58
Ohio,58
Idaho,56
Florida,56
Wisconsin,55
Nevada,55
Pennsylvania,53
Virginia,53
Delaware,52
New Hampshire,52
Illinois,51
Utah,51
Montana,50
Rhode Island,50
Michigan,47
Colorado,46
Minnesota,45
Maryland,44
Connecticut,42
New Jersey,41
Vermont,38
California,38
Washington,38
Oregon,36
Hawaii,36
Alaska,35
Massachusetts,34
New York,34
District of Columbia,27
