Region,AmerisourceBergen: (2020)
Pennsylvania,100
Kentucky,89
Maine,64
South Carolina,61
Texas,53
District of Columbia,51
West Virginia,50
Rhode Island,49
North Carolina,48
Idaho,48
Hawaii,47
Delaware,46
Ohio,45
Kansas,45
Colorado,42
Missouri,41
New Jersey,40
Arkansas,40
Massachusetts,38
Illinois,37
Tennessee,36
Nebraska,34
Indiana,33
New York,33
Georgia,31
Maryland,30
Iowa,29
Mississippi,28
Alabama,27
California,27
Utah,27
Michigan,27
Minnesota,27
Florida,26
Oklahoma,25
Virginia,23
Wisconsin,23
New Hampshire,21
Arizona,20
Washington,19
Connecticut,18
Oregon,17
New Mexico,12
Louisiana,10
Nevada,9
Alaska,
Montana,
Vermont,
North Dakota,
South Dakota,
Wyoming,
