Region,StoneX Group: (2020)
Kansas,100
Iowa,71
Alabama,58
Illinois,48
New York,46
Missouri,42
Florida,36
New Jersey,33
Wisconsin,26
Massachusetts,24
California,20
Virginia,20
North Carolina,17
Minnesota,17
Indiana,16
Colorado,16
Michigan,15
Pennsylvania,15
Georgia,12
Ohio,12
Texas,10
Washington,6
South Dakota,
Arkansas,
Hawaii,
Kentucky,
Mississippi,
Oregon,
Nevada,
Utah,
Alaska,
Arizona,
Connecticut,
District of Columbia,
Delaware,
Idaho,
Louisiana,
Maryland,
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
Rhode Island,
South Carolina,
Tennessee,
Vermont,
West Virginia,
Wyoming,
