Region,Alphabet: (2020)
Alaska,100
Hawaii,99
Utah,98
Vermont,97
Texas,95
New Jersey,93
Maryland,92
Virginia,90
New Mexico,89
Nebraska,89
Louisiana,89
Arkansas,88
California,87
Mississippi,87
Connecticut,87
South Carolina,86
Washington,86
Nevada,84
Delaware,84
Alabama,84
Idaho,84
Indiana,84
Oklahoma,83
South Dakota,83
Florida,82
Georgia,82
Arizona,82
Massachusetts,82
District of Columbia,81
Oregon,80
New Hampshire,80
Rhode Island,79
Minnesota,79
Wyoming,79
New York,79
North Carolina,79
Colorado,78
Illinois,78
West Virginia,78
Wisconsin,78
Missouri,77
Pennsylvania,77
Tennessee,76
Kansas,76
Ohio,75
Kentucky,74
Montana,73
Michigan,73
North Dakota,72
Iowa,71
Maine,71
