Region,Ford Motor Company: (2020)
Wyoming,100
West Virginia,98
Michigan,98
North Dakota,96
Montana,92
South Dakota,90
Iowa,88
Oklahoma,87
Missouri,87
Kentucky,87
Nebraska,86
Idaho,86
New Mexico,85
Kansas,85
Alaska,82
Arkansas,81
Mississippi,80
Alabama,79
Tennessee,78
Indiana,75
Wisconsin,75
Ohio,73
Texas,73
Louisiana,71
Utah,71
Minnesota,70
South Carolina,70
Georgia,69
North Carolina,68
Maine,68
Arizona,66
Oregon,65
Colorado,65
New Hampshire,63
Illinois,61
Pennsylvania,61
Virginia,61
Washington,61
Vermont,60
Florida,58
Delaware,56
Nevada,54
California,48
Maryland,47
Connecticut,46
Massachusetts,43
Rhode Island,43
New Jersey,42
New York,41
Hawaii,41
District of Columbia,25
