Region,Cigna: (2020)
Connecticut,100
Arizona,81
Tennessee,80
Colorado,63
New Hampshire,62
District of Columbia,61
Missouri,53
Florida,51
Virginia,50
New Jersey,44
Utah,44
Texas,43
Maryland,43
Wyoming,43
Georgia,42
Delaware,40
Vermont,39
North Carolina,37
Pennsylvania,35
Mississippi,34
Illinois,33
South Carolina,33
New York,33
Maine,32
Alabama,31
Nevada,30
Massachusetts,30
Kansas,28
Rhode Island,27
Montana,26
West Virginia,25
Indiana,24
Oregon,24
California,24
Ohio,23
Arkansas,23
Louisiana,23
Minnesota,22
Washington,21
New Mexico,20
Idaho,19
Oklahoma,19
Kentucky,19
Alaska,17
Wisconsin,17
Michigan,16
South Dakota,16
North Dakota,16
Iowa,14
Nebraska,14
Hawaii,7
