Region,Costco: (2020)
Hawaii,100
Washington,92
California,81
Alaska,71
Idaho,68
Utah,68
Oregon,68
Montana,68
Arizona,62
Nevada,57
Colorado,41
New Jersey,39
Minnesota,38
Maryland,36
Michigan,35
New Mexico,35
Virginia,34
Illinois,34
Vermont,33
Connecticut,32
District of Columbia,29
Wisconsin,29
North Dakota,28
Nebraska,27
Florida,25
Delaware,24
New York,23
South Dakota,23
Texas,23
Indiana,22
Ohio,22
Georgia,22
South Carolina,21
Missouri,20
Kansas,20
Pennsylvania,19
North Carolina,19
Iowa,19
Massachusetts,18
Kentucky,18
Tennessee,18
Alabama,15
Wyoming,14
Louisiana,14
Oklahoma,11
Mississippi,9
New Hampshire,9
West Virginia,8
Rhode Island,6
Arkansas,4
Maine,3
