Region,Chevron Corporation: (2020)
Mississippi,100
Alaska,95
Alabama,91
Louisiana,84
Utah,79
California,76
Idaho,73
Nevada,72
Oregon,71
Washington,68
Arizona,56
Texas,55
New Mexico,53
Wyoming,52
Georgia,47
Hawaii,33
Florida,26
Montana,20
Colorado,20
Oklahoma,19
District of Columbia,18
Iowa,17
Kentucky,17
North Dakota,16
Missouri,16
Kansas,15
New York,14
New Jersey,14
Illinois,14
Tennessee,13
Virginia,13
Rhode Island,13
Connecticut,13
Minnesota,12
Ohio,12
Pennsylvania,12
Nebraska,12
North Carolina,12
Delaware,12
South Carolina,12
West Virginia,11
Michigan,11
Arkansas,11
Massachusetts,11
Maine,11
Wisconsin,11
New Hampshire,11
Indiana,10
Maryland,9
Vermont,9
South Dakota,8
