Region,Cardinal Health: (2020)
Ohio,100
South Dakota,100
North Dakota,76
Tennessee,61
Maine,53
West Virginia,51
Nebraska,49
Mississippi,49
Missouri,41
Massachusetts,40
Alaska,40
Kentucky,38
North Carolina,38
Minnesota,38
Illinois,37
Alabama,35
New Mexico,34
Iowa,34
Montana,32
Kansas,32
Delaware,31
District of Columbia,30
Louisiana,29
New Jersey,29
New York,28
Wyoming,28
Indiana,28
Virginia,28
Michigan,27
Rhode Island,27
Arkansas,27
South Carolina,27
Connecticut,27
Texas,26
Florida,25
Georgia,25
Wisconsin,25
California,25
Pennsylvania,24
Colorado,24
Arizona,22
Hawaii,21
Oregon,20
Washington,20
Maryland,19
Idaho,17
Utah,16
Nevada,16
Oklahoma,16
New Hampshire,12
Vermont,11
