Region,JPMorgan Chase: (2020)
Arizona,100
Louisiana,98
Ohio,84
Illinois,78
Indiana,77
Michigan,76
Texas,74
New York,68
Nevada,64
Washington,59
California,58
Colorado,58
Oregon,57
Florida,56
Kentucky,56
New Jersey,51
Utah,51
Wisconsin,51
West Virginia,44
Oklahoma,40
Idaho,39
Connecticut,37
District of Columbia,36
Georgia,33
Delaware,33
Massachusetts,19
Maryland,18
New Mexico,18
Pennsylvania,17
Virginia,17
Rhode Island,17
Wyoming,16
Missouri,15
Montana,15
Tennessee,14
Vermont,14
North Carolina,14
Mississippi,14
Minnesota,13
Nebraska,13
South Carolina,13
Kansas,13
New Hampshire,13
Iowa,12
North Dakota,12
Hawaii,12
Arkansas,11
Alabama,11
Maine,9
Alaska,8
South Dakota,8
