Region,General Motors: (2020)
Michigan,100
Indiana,46
North Dakota,44
Missouri,40
Wyoming,40
Montana,38
Ohio,37
Iowa,37
Maine,36
Wisconsin,36
Minnesota,36
Nebraska,35
New Hampshire,34
South Dakota,34
Arkansas,33
West Virginia,33
Kentucky,32
Illinois,32
Tennessee,32
Kansas,32
Alaska,31
New York,31
Vermont,31
Delaware,30
Massachusetts,29
District of Columbia,29
Alabama,29
Oklahoma,29
Pennsylvania,28
Rhode Island,28
New Jersey,28
Mississippi,27
Colorado,27
Idaho,27
Arizona,27
Texas,27
Virginia,27
Oregon,27
Georgia,27
North Carolina,26
Connecticut,26
California,26
Louisiana,26
Washington,26
Maryland,26
South Carolina,26
Utah,25
Florida,24
New Mexico,24
Nevada,24
Hawaii,22
