Region,Walgreens Boots Alliance: (2020)
Illinois,100
Delaware,93
Hawaii,69
Mississippi,67
Nevada,66
Louisiana,65
Florida,64
Nebraska,62
Wisconsin,62
Tennessee,62
Maine,61
Michigan,58
New Jersey,58
Kansas,57
West Virginia,56
Alabama,56
Minnesota,55
Missouri,54
Connecticut,54
Texas,53
North Carolina,53
Indiana,53
Arizona,52
Maryland,50
Iowa,50
Massachusetts,50
Kentucky,49
Arkansas,49
Georgia,49
Washington,48
South Carolina,48
New York,47
New Mexico,46
Colorado,45
California,44
Oklahoma,43
District of Columbia,42
Virginia,41
Ohio,39
Rhode Island,38
South Dakota,34
Idaho,31
Pennsylvania,30
New Hampshire,30
Oregon,30
Alaska,28
Montana,27
Utah,26
Wyoming,19
Vermont,5
North Dakota,
