Region,Amazon.com: (2020)
Vermont,100
Delaware,93
Maine,89
Washington,88
New Hampshire,87
Oregon,86
Montana,86
Idaho,86
Wyoming,85
Maryland,85
Wisconsin,81
West Virginia,81
Arizona,81
Florida,80
Pennsylvania,80
Virginia,80
Connecticut,79
Rhode Island,79
Nevada,78
Michigan,78
New Jersey,78
Ohio,78
South Carolina,78
Massachusetts,78
Kentucky,77
Indiana,76
California,76
New Mexico,75
North Dakota,75
Missouri,74
Iowa,74
New York,74
North Carolina,74
Tennessee,74
Illinois,74
Alaska,73
Colorado,73
Oklahoma,73
Hawaii,73
Georgia,73
Minnesota,73
South Dakota,73
Louisiana,73
Alabama,72
Mississippi,72
Utah,72
Kansas,72
Nebraska,71
Texas,69
District of Columbia,68
Arkansas,65
