Region,Verizon Communications: (2020)
Maryland,100
Delaware,97
Rhode Island,93
Virginia,79
New Jersey,77
Pennsylvania,74
District of Columbia,72
Massachusetts,70
New York,56
New Hampshire,24
North Dakota,22
Connecticut,22
Montana,22
North Carolina,20
Nebraska,20
Arizona,20
South Carolina,20
Florida,19
Idaho,19
New Mexico,18
Vermont,18
Washington,17
Georgia,17
Arkansas,17
Tennessee,17
South Dakota,16
California,16
Wyoming,16
Alabama,16
Ohio,16
Iowa,16
Michigan,16
Hawaii,15
Indiana,15
Colorado,14
Nevada,14
Texas,14
Illinois,14
West Virginia,14
Louisiana,13
Oregon,13
Kansas,13
Maine,13
Wisconsin,13
Utah,13
Missouri,12
Minnesota,11
Kentucky,11
Mississippi,9
Oklahoma,9
Alaska,8
