Region,Microsoft Corporation: (2020)
District of Columbia,100
Washington,96
Virginia,73
North Dakota,71
Maryland,69
New York,64
Connecticut,64
Massachusetts,64
Hawaii,64
New Jersey,63
Colorado,63
Vermont,62
West Virginia,62
Arizona,61
Minnesota,61
Rhode Island,61
Utah,60
Texas,60
Oregon,60
New Hampshire,60
California,59
Georgia,59
Montana,58
Delaware,58
Florida,58
South Carolina,57
Tennessee,57
North Carolina,57
Kansas,57
Illinois,57
Alaska,57
Wisconsin,56
Pennsylvania,56
South Dakota,56
Idaho,55
Indiana,54
Ohio,54
Nevada,53
Michigan,53
Missouri,53
Kentucky,53
Nebraska,52
Iowa,51
Oklahoma,51
Maine,51
Louisiana,50
New Mexico,50
Wyoming,49
Arkansas,48
Alabama,47
Mississippi,46
