Region,Marathon Petroleum Corporation: (2020)
North Dakota,100
Ohio,61
West Virginia,51
Alaska,45
Kentucky,44
Louisiana,34
New Mexico,31
Michigan,26
Indiana,26
Montana,24
Texas,22
Utah,20
Illinois,19
Minnesota,17
Kansas,14
District of Columbia,14
Missouri,13
South Carolina,13
Maine,12
Iowa,12
California,12
Arkansas,11
Washington,11
Wisconsin,11
Mississippi,11
Tennessee,11
Florida,10
Oklahoma,10
Georgia,9
Idaho,9
Delaware,9
Virginia,9
Alabama,8
Massachusetts,8
Pennsylvania,8
Arizona,8
Wyoming,7
Oregon,7
North Carolina,7
Colorado,7
Maryland,6
New York,6
New Jersey,5
Nebraska,4
Nevada,4
Connecticut,3
Rhode Island,3
New Hampshire,1
South Dakota,
Hawaii,
Vermont,
