Region,Fannie Mae: (2020)
District of Columbia,100
Virginia,72
Rhode Island,52
Michigan,51
Maryland,48
Arizona,43
New Hampshire,41
California,41
New Jersey,41
South Dakota,40
Oregon,39
Hawaii,39
New York,37
Illinois,37
Colorado,37
Utah,36
Nevada,34
Delaware,34
Florida,34
Connecticut,33
Washington,33
Minnesota,32
South Carolina,32
Nebraska,31
Massachusetts,31
Montana,30
Texas,30
Missouri,29
Wisconsin,29
Pennsylvania,29
Idaho,28
North Carolina,28
Alabama,28
Georgia,27
Ohio,27
Wyoming,27
Arkansas,27
Kansas,27
North Dakota,26
Vermont,25
Maine,25
Tennessee,23
Iowa,23
Louisiana,22
Indiana,22
Kentucky,21
Oklahoma,21
West Virginia,18
Alaska,18
Mississippi,16
New Mexico,16
