Region,Bank of America: (2020)
Nevada,100
California,93
Maryland,71
Massachusetts,70
Arizona,67
Rhode Island,66
Florida,62
New Jersey,60
District of Columbia,56
Connecticut,56
South Carolina,51
Washington,49
Georgia,48
North Carolina,44
Alaska,42
Virginia,39
Michigan,39
New Hampshire,39
Texas,37
New Mexico,37
New York,36
Missouri,35
Oregon,33
Kansas,33
Delaware,32
Maine,31
Tennessee,30
Illinois,29
Arkansas,23
Oklahoma,23
Kentucky,20
Pennsylvania,20
Vermont,17
Iowa,17
Montana,15
Idaho,14
Colorado,14
Hawaii,14
Mississippi,12
Wyoming,11
Utah,11
Minnesota,11
Alabama,11
Ohio,11
West Virginia,10
Indiana,10
Louisiana,10
Wisconsin,8
North Dakota,8
Nebraska,8
South Dakota,7
