Region,The Home Depot: (2020)
New Hampshire,100
Maine,90
Connecticut,86
Georgia,79
Vermont,79
Idaho,79
Michigan,79
Hawaii,79
Oregon,79
Rhode Island,78
New Jersey,78
Arizona,78
Massachusetts,78
Colorado,77
New Mexico,75
Washington,75
Delaware,74
Florida,74
Texas,74
Utah,72
Louisiana,72
Pennsylvania,71
California,71
Maryland,69
Alaska,69
Wyoming,67
Montana,66
Ohio,66
Minnesota,64
Kansas,64
New York,64
Alabama,64
Nevada,62
Illinois,62
Virginia,60
Tennessee,60
Wisconsin,60
Missouri,59
South Carolina,56
Arkansas,55
Mississippi,53
Oklahoma,53
Nebraska,48
Kentucky,46
West Virginia,46
North Carolina,44
Indiana,44
Iowa,41
District of Columbia,38
North Dakota,31
South Dakota,23
