Region,Phillips 66: (2020)
Oklahoma,100
Missouri,75
Montana,64
Kansas,60
Louisiana,38
Wyoming,35
Nebraska,34
Arkansas,34
Texas,29
Indiana,27
Iowa,27
New Mexico,26
Illinois,23
Utah,22
Idaho,21
Colorado,20
Alaska,16
South Dakota,16
Mississippi,13
New Jersey,12
Tennessee,11
Washington,11
Hawaii,11
District of Columbia,10
California,10
Wisconsin,9
Connecticut,8
Minnesota,7
West Virginia,7
Kentucky,6
Georgia,6
North Dakota,6
Pennsylvania,6
Michigan,6
Virginia,5
New Hampshire,5
Oregon,5
Nevada,5
Delaware,5
Ohio,5
Alabama,5
Arizona,5
Maine,5
New York,5
North Carolina,5
Massachusetts,4
Florida,4
South Carolina,4
Rhode Island,3
Maryland,2
Vermont,
