Region,Comcast: (2020)
New Hampshire,100
Delaware,85
Massachusetts,81
Vermont,72
Pennsylvania,72
Illinois,71
Maryland,70
Washington,69
Colorado,67
Oregon,59
Michigan,58
Indiana,58
Tennessee,55
Georgia,50
District of Columbia,50
Florida,48
Utah,48
Connecticut,47
New Jersey,45
New Mexico,44
West Virginia,43
Virginia,41
Minnesota,41
Mississippi,36
California,23
Maine,18
Alabama,18
Arkansas,16
South Carolina,15
Texas,14
Louisiana,11
Rhode Island,10
Kentucky,8
Arizona,8
Ohio,6
Wisconsin,6
Missouri,6
New York,5
Kansas,5
Wyoming,5
North Carolina,4
Idaho,3
Nevada,3
Iowa,3
Nebraska,2
Alaska,2
Oklahoma,2
South Dakota,2
Montana,2
Hawaii,1
North Dakota,1
