Region,Anthem: (2020)
Indiana,100
Virginia,93
Kentucky,92
Maine,78
New Hampshire,67
Connecticut,62
Nevada,57
Ohio,52
California,47
Georgia,43
Colorado,41
Missouri,40
Wisconsin,29
District of Columbia,23
Tennessee,22
Arizona,20
Alabama,18
Illinois,18
Massachusetts,17
North Carolina,17
Idaho,17
New York,15
Rhode Island,15
Maryland,15
West Virginia,14
Utah,14
Florida,14
New Jersey,14
South Carolina,14
Kansas,14
Oregon,13
Minnesota,13
Nebraska,13
Arkansas,12
Wyoming,12
Mississippi,12
Texas,12
Louisiana,12
Michigan,12
Pennsylvania,12
Washington,12
Iowa,12
South Dakota,11
New Mexico,10
Oklahoma,10
Montana,10
Vermont,10
Alaska,10
Delaware,10
North Dakota,9
Hawaii,5
