Region,ExxonMobil: (2020)
Louisiana,100
Texas,84
West Virginia,70
Montana,69
Wyoming,68
New Jersey,59
Delaware,59
Arkansas,58
Mississippi,57
Virginia,54
District of Columbia,50
Vermont,49
Maryland,45
North Dakota,42
Tennessee,42
South Carolina,40
New Hampshire,39
North Carolina,38
Pennsylvania,37
Connecticut,37
Alabama,34
South Dakota,33
Florida,33
New York,32
Rhode Island,31
Oklahoma,31
Massachusetts,30
Idaho,30
Georgia,28
Alaska,28
Maine,27
Illinois,27
Wisconsin,25
Colorado,25
Missouri,24
Kansas,24
Minnesota,24
Arizona,23
Michigan,23
New Mexico,22
California,22
Utah,21
Washington,21
Ohio,21
Kentucky,20
Nebraska,19
Nevada,19
Indiana,17
Iowa,17
Oregon,16
Hawaii,12
