Region,Wells Fargo: (2020)
Nevada,100
New Mexico,99
Minnesota,98
South Dakota,93
Arizona,92
Alaska,89
South Carolina,77
North Carolina,71
Georgia,71
Florida,70
Colorado,69
Idaho,68
Wyoming,63
Alabama,63
North Dakota,63
California,63
Montana,62
Virginia,60
Nebraska,56
Texas,55
Utah,54
Delaware,54
Oregon,52
New Jersey,51
Iowa,51
Pennsylvania,43
Maryland,41
Washington,40
District of Columbia,39
Connecticut,30
Wisconsin,24
Mississippi,23
New York,19
Tennessee,18
Kansas,16
Missouri,14
Illinois,13
Arkansas,12
Louisiana,12
Hawaii,11
West Virginia,11
Oklahoma,10
New Hampshire,9
Vermont,9
Indiana,9
Ohio,9
Rhode Island,8
Massachusetts,8
Kentucky,8
Maine,8
Michigan,7
