Region,Citigroup: (2020)
New York,100
District of Columbia,80
California,73
Hawaii,58
New Jersey,57
Illinois,57
Nevada,55
Connecticut,52
Florida,49
Montana,47
Maryland,47
Delaware,46
Washington,43
Idaho,41
Vermont,40
Arizona,40
Oregon,39
Virginia,39
Massachusetts,37
Texas,37
Utah,36
Colorado,34
Pennsylvania,33
New Hampshire,32
Rhode Island,31
Michigan,31
New Mexico,31
Alaska,31
South Dakota,31
North Carolina,30
Minnesota,30
Maine,29
Missouri,29
Wyoming,29
Wisconsin,28
South Carolina,28
North Dakota,28
Ohio,28
Georgia,27
Iowa,26
Indiana,26
Nebraska,26
Tennessee,25
Kansas,25
Arkansas,25
Oklahoma,24
Alabama,24
Louisiana,24
Kentucky,23
West Virginia,21
Mississippi,21
