Region,Valero Energy: (2020)
Texas,100
Arkansas,87
Louisiana,57
Delaware,51
Oklahoma,48
Kentucky,42
New Mexico,36
Iowa,27
Mississippi,26
Kansas,24
California,23
Georgia,22
Ohio,21
Virginia,19
Tennessee,18
Connecticut,15
District of Columbia,14
Colorado,14
South Dakota,14
Pennsylvania,14
Alabama,14
New Jersey,13
New York,13
Arizona,13
Nebraska,12
Indiana,11
Michigan,10
Wyoming,10
North Carolina,10
Florida,9
Minnesota,9
Missouri,9
Maine,8
Maryland,8
West Virginia,8
New Hampshire,7
South Carolina,7
Illinois,6
Nevada,6
Wisconsin,6
Oregon,5
Utah,5
Hawaii,5
North Dakota,4
Washington,4
Idaho,4
Massachusetts,4
Rhode Island,2
Vermont,2
Alaska,
Montana,
