Region,General Electric: (2020)
Connecticut,100
Vermont,99
New Hampshire,98
Ohio,89
Kentucky,87
South Carolina,87
Massachusetts,85
Maine,79
New York,73
Delaware,69
New Jersey,69
Pennsylvania,67
Virginia,66
Florida,66
Wisconsin,65
North Carolina,63
Kansas,63
Alaska,62
Alabama,62
Michigan,61
Hawaii,61
West Virginia,59
Indiana,58
Illinois,57
Missouri,57
Louisiana,57
Rhode Island,56
District of Columbia,56
Georgia,56
Arizona,56
Washington,55
Montana,55
Texas,53
Minnesota,53
Arkansas,53
Maryland,53
Tennessee,52
Oklahoma,52
Iowa,51
Mississippi,51
Nebraska,51
Colorado,51
South Dakota,50
New Mexico,50
Utah,49
Wyoming,49
California,48
North Dakota,46
Nevada,45
Oregon,42
Idaho,41
