Region,Dell: (2020)
Alaska,100
District of Columbia,96
Oklahoma,90
Maryland,89
Texas,89
Virginia,88
Massachusetts,88
New York,83
New Jersey,79
New Hampshire,79
Hawaii,79
Colorado,78
Delaware,78
Washington,77
California,75
Connecticut,75
Tennessee,74
Kansas,74
Oregon,72
Arizona,72
Missouri,71
Vermont,71
Illinois,70
Maine,70
New Mexico,69
Pennsylvania,69
Iowa,68
North Dakota,68
South Carolina,68
Montana,68
Michigan,68
Utah,68
Georgia,67
Rhode Island,67
Minnesota,66
Florida,66
North Carolina,66
Nebraska,66
Indiana,65
Arkansas,64
Wisconsin,63
Idaho,63
Ohio,63
Alabama,63
Kentucky,62
Wyoming,61
South Dakota,61
Louisiana,61
West Virginia,60
Mississippi,60
Nevada,60
