Region,Johnson & Johnson: (2020)
New Jersey,100
Pennsylvania,60
West Virginia,56
Massachusetts,51
Rhode Island,49
District of Columbia,44
Connecticut,42
New York,39
Florida,38
Maryland,35
California,35
Indiana,35
Illinois,35
New Hampshire,34
Virginia,34
Hawaii,33
Delaware,32
Minnesota,32
Ohio,31
Colorado,29
Mississippi,29
Nebraska,29
Georgia,28
Wisconsin,28
Missouri,28
Vermont,28
Alabama,28
North Carolina,27
North Dakota,27
Wyoming,27
Nevada,27
Michigan,26
Texas,26
Arkansas,25
Utah,25
Oregon,25
Tennessee,25
Washington,24
South Carolina,24
Maine,24
Louisiana,24
Arizona,24
Kentucky,23
Iowa,23
Kansas,22
Alaska,22
New Mexico,21
Montana,20
Idaho,19
Oklahoma,18
South Dakota,17
