Region,State Farm: (2020)
Louisiana,100
West Virginia,87
Georgia,85
Alaska,85
South Carolina,83
Arkansas,80
Alabama,80
Illinois,79
Delaware,77
Kentucky,75
Wyoming,73
Mississippi,70
Oklahoma,67
Missouri,66
Indiana,62
Michigan,62
Tennessee,62
Montana,62
Iowa,61
Nebraska,61
Minnesota,61
South Dakota,60
North Carolina,56
Pennsylvania,56
New Mexico,54
Kansas,53
Texas,53
Colorado,52
Ohio,52
Oregon,52
Arizona,51
Maryland,50
Nevada,48
North Dakota,48
Virginia,47
Florida,46
Hawaii,45
Idaho,43
Washington,42
Wisconsin,42
Utah,39
Maine,39
District of Columbia,37
New Hampshire,34
California,34
New York,34
Vermont,33
Connecticut,32
New Jersey,27
Massachusetts,11
Rhode Island,10
