Region,Target Corporation: (2020)
Minnesota,100
California,73
Hawaii,72
Illinois,66
Iowa,62
North Dakota,61
Nebraska,60
Maryland,60
Wisconsin,59
Pennsylvania,59
Massachusetts,57
Arizona,57
Virginia,55
New Jersey,55
Rhode Island,55
Nevada,54
Colorado,53
New York,53
Connecticut,53
Florida,52
Missouri,51
Texas,50
Ohio,49
Michigan,49
South Dakota,49
New Mexico,48
North Carolina,48
New Hampshire,48
District of Columbia,47
Kansas,47
Washington,47
Indiana,46
Delaware,46
Georgia,46
Tennessee,46
Montana,46
Alabama,46
Utah,45
Oklahoma,44
Oregon,44
South Carolina,43
Louisiana,42
Maine,39
Alaska,38
Kentucky,38
West Virginia,36
Idaho,36
Arkansas,35
Mississippi,31
Vermont,27
Wyoming,27
