Region,IBM: (2020)
District of Columbia,100
New York,90
Connecticut,80
Vermont,80
Massachusetts,71
North Carolina,71
New Jersey,67
Virginia,61
Minnesota,57
New Hampshire,53
Rhode Island,52
Illinois,48
Georgia,47
Texas,47
Maryland,47
California,45
Colorado,43
Pennsylvania,42
Missouri,41
Oregon,40
Wisconsin,39
Florida,39
Michigan,38
Arizona,38
Nebraska,37
South Carolina,36
Iowa,36
Delaware,35
Ohio,34
Washington,34
Nevada,34
Maine,32
Arkansas,31
Indiana,30
Hawaii,30
North Dakota,29
Tennessee,29
South Dakota,28
Alabama,28
Kentucky,27
Kansas,27
Utah,27
Louisiana,25
Oklahoma,25
Montana,23
New Mexico,23
Idaho,23
West Virginia,22
Wyoming,21
Alaska,19
Mississippi,18
