Region,Raytheon Company: (2020)
Massachusetts,100
New Hampshire,79
Arizona,78
Connecticut,73
Rhode Island,54
District of Columbia,47
Colorado,40
Virginia,34
Maryland,31
New Mexico,29
Texas,28
Iowa,27
California,24
Maine,22
Alabama,22
Indiana,22
Alaska,20
Florida,20
Mississippi,20
Utah,19
Hawaii,19
Vermont,18
Kansas,18
Oregon,15
New York,15
New Jersey,15
Montana,15
Washington,13
Pennsylvania,13
South Carolina,13
Minnesota,13
North Carolina,13
Kentucky,12
Oklahoma,12
Illinois,12
Michigan,12
Idaho,12
Tennessee,12
South Dakota,11
Nebraska,11
Nevada,10
Ohio,10
Missouri,10
Georgia,9
Wisconsin,9
North Dakota,9
West Virginia,9
Arkansas,9
Wyoming,8
Delaware,8
Louisiana,7
