Region,Apple: (2020)
California,100
District of Columbia,97
Hawaii,96
Connecticut,93
New Jersey,89
Massachusetts,88
New York,88
Maryland,85
Texas,83
Florida,83
Virginia,83
Delaware,83
Utah,83
Rhode Island,82
Georgia,82
Arizona,81
Nevada,81
Illinois,80
Washington,79
North Carolina,76
Tennessee,75
New Hampshire,75
Colorado,75
Minnesota,74
Pennsylvania,74
Alaska,73
Oregon,73
Kansas,72
Nebraska,72
South Carolina,71
Ohio,70
Alabama,70
Michigan,70
Maine,69
New Mexico,69
Indiana,69
Louisiana,69
Kentucky,68
Missouri,67
Vermont,67
Mississippi,67
Wisconsin,65
Iowa,64
Oklahoma,64
Arkansas,63
Idaho,63
West Virginia,61
North Dakota,59
Montana,58
Wyoming,58
South Dakota,56
