Region,Boeing: (2020)
Washington,100
Missouri,28
Kansas,20
Oregon,18
Hawaii,18
South Carolina,17
Montana,17
California,17
District of Columbia,17
Arizona,16
Connecticut,14
New Jersey,14
Illinois,14
Oklahoma,14
Virginia,14
Florida,13
Alaska,13
Maryland,13
Idaho,12
Colorado,12
New York,12
Massachusetts,12
Delaware,12
Pennsylvania,12
Utah,12
Minnesota,11
Nebraska,11
Alabama,11
New Hampshire,11
Nevada,11
North Dakota,11
South Dakota,10
Iowa,10
Texas,10
Wisconsin,9
Rhode Island,9
Michigan,9
Georgia,9
North Carolina,9
Ohio,9
New Mexico,9
Vermont,8
Maine,8
Indiana,8
Wyoming,8
Tennessee,7
Arkansas,7
Kentucky,6
Louisiana,6
West Virginia,5
Mississippi,5
