Region,Freddie Mac: (2020)
District of Columbia,100
Virginia,95
Maryland,47
Michigan,43
Maine,34
Utah,33
Hawaii,33
Rhode Island,32
Colorado,31
Illinois,30
California,30
Montana,29
New Jersey,29
Missouri,29
New Hampshire,29
Arizona,28
Oregon,27
Minnesota,26
Connecticut,26
New York,25
Idaho,25
Delaware,25
Indiana,24
Iowa,23
Washington,23
Florida,22
North Carolina,22
Kentucky,22
Texas,21
Massachusetts,21
Ohio,21
Kansas,20
Pennsylvania,20
South Carolina,19
Georgia,19
Nevada,19
Nebraska,18
Tennessee,18
Wisconsin,17
Arkansas,17
Oklahoma,16
Alaska,16
North Dakota,16
New Mexico,15
West Virginia,13
Mississippi,13
Louisiana,13
South Dakota,12
Alabama,11
Wyoming,7
Vermont,6
