Region,Centene Corporation: (2020)
Missouri,100
Arkansas,23
Florida,16
Illinois,15
District of Columbia,15
Arizona,14
Mississippi,10
Nebraska,10
North Carolina,9
Georgia,8
Texas,8
New York,8
Kansas,8
Iowa,8
Hawaii,8
Louisiana,8
Montana,7
California,7
Michigan,7
Indiana,6
Nevada,6
Connecticut,6
New Mexico,6
Minnesota,6
Virginia,5
South Carolina,5
Kentucky,5
Oregon,5
New Jersey,5
New Hampshire,5
Pennsylvania,4
Massachusetts,4
Washington,4
Maryland,4
Wisconsin,4
Tennessee,4
Ohio,3
Maine,3
Colorado,3
Utah,3
Rhode Island,2
Oklahoma,2
West Virginia,1
Alabama,1
Alaska,
Vermont,
Idaho,
Delaware,
North Dakota,
South Dakota,
Wyoming,
