Region,United Parcel Service: (2020)
Vermont,100
New Mexico,99
Nevada,97
Wyoming,97
New Hampshire,97
Georgia,96
Oregon,96
New Jersey,95
Rhode Island,94
Connecticut,94
California,94
Kentucky,93
New York,93
Montana,93
North Dakota,92
Arizona,92
Michigan,92
Washington,91
Idaho,91
Illinois,91
Massachusetts,90
Florida,90
Pennsylvania,90
Maine,89
District of Columbia,89
South Dakota,89
Delaware,88
Virginia,87
Minnesota,87
Colorado,86
Maryland,86
Wisconsin,86
South Carolina,85
Missouri,85
Kansas,85
Arkansas,84
Indiana,84
Texas,84
Utah,84
Louisiana,83
West Virginia,83
Alabama,83
Mississippi,82
Tennessee,82
Nebraska,80
Iowa,80
North Carolina,79
Oklahoma,78
Ohio,77
Hawaii,70
Alaska,68
