Region,Lowe's: (2020)
West Virginia,100
Kentucky,78
North Carolina,77
South Carolina,77
Delaware,71
Alabama,70
Tennessee,69
Mississippi,69
Oklahoma,67
Arkansas,65
Maine,62
Pennsylvania,60
Louisiana,59
New Mexico,56
Virginia,56
Ohio,55
Indiana,54
Missouri,53
New Hampshire,53
Alaska,53
Georgia,49
Montana,43
Rhode Island,43
Texas,42
Florida,42
Idaho,42
Kansas,40
Maryland,40
Michigan,39
Vermont,37
Washington,36
New Jersey,35
Connecticut,35
Colorado,35
Utah,35
Iowa,35
Nevada,34
Arizona,34
Hawaii,34
Massachusetts,33
Oregon,33
South Dakota,31
New York,30
North Dakota,30
Nebraska,28
Illinois,26
California,26
Wyoming,21
Minnesota,18
District of Columbia,17
Wisconsin,17
