Region,Intel: (2020)
Oregon,100
Arizona,49
California,43
Washington,41
Alaska,37
New Mexico,35
Massachusetts,34
New York,33
Virginia,33
Nevada,33
Hawaii,32
Colorado,32
Vermont,32
North Dakota,32
New Hampshire,32
District of Columbia,32
Maryland,31
New Jersey,31
Idaho,30
Rhode Island,29
Kansas,29
Utah,29
Texas,28
Illinois,28
Minnesota,28
Connecticut,28
Maine,27
Florida,27
Wisconsin,26
Missouri,26
Pennsylvania,26
Iowa,26
Wyoming,26
Arkansas,25
North Carolina,25
Georgia,25
Michigan,25
Oklahoma,25
Indiana,25
South Dakota,24
Montana,24
Delaware,24
Ohio,24
West Virginia,24
Tennessee,24
Kentucky,24
Nebraska,22
South Carolina,22
Alabama,21
Mississippi,20
Louisiana,20
