Region,Facebook: (2020)
Maine,100
South Dakota,100
Wyoming,99
Montana,98
West Virginia,94
Iowa,91
Vermont,88
North Dakota,88
New Mexico,86
Idaho,84
Mississippi,84
Alabama,82
New Hampshire,81
Tennessee,81
Indiana,81
Nebraska,80
Oklahoma,80
Wisconsin,80
Michigan,79
Kentucky,79
Arkansas,79
Ohio,79
Kansas,78
South Carolina,77
Minnesota,76
Oregon,75
Alaska,74
North Carolina,74
Missouri,72
Pennsylvania,72
Louisiana,70
Washington,70
Delaware,69
Rhode Island,69
Georgia,67
Arizona,65
Illinois,65
Colorado,65
Virginia,63
Massachusetts,63
Florida,62
Connecticut,61
Nevada,61
Maryland,60
Utah,59
Texas,57
New Jersey,55
New York,50
California,48
Hawaii,45
District of Columbia,40
