Region,FedEx: (2020)
Tennessee,100
Georgia,86
District of Columbia,85
California,85
Arkansas,84
Maryland,82
New Jersey,82
Mississippi,81
Delaware,80
Wyoming,80
Connecticut,80
Illinois,80
Pennsylvania,80
New York,79
Missouri,78
Michigan,78
New Mexico,78
Utah,77
Ohio,77
Nevada,77
Colorado,77
Virginia,77
Florida,76
Louisiana,76
Texas,76
Alabama,76
Indiana,75
Washington,75
Oregon,75
Massachusetts,75
South Carolina,74
Kansas,74
North Carolina,73
New Hampshire,73
Arizona,73
Montana,73
North Dakota,72
Minnesota,70
Rhode Island,70
Wisconsin,69
Maine,69
Idaho,68
Vermont,67
Oklahoma,67
West Virginia,66
Kentucky,66
Alaska,65
Iowa,63
Hawaii,63
Nebraska,61
South Dakota,61
