Region,MetLife: (2020)
Rhode Island,100
Connecticut,97
New Jersey,97
New York,88
New Hampshire,85
Maine,72
North Carolina,71
Massachusetts,71
District of Columbia,71
South Carolina,64
Delaware,63
Illinois,62
Georgia,59
Mississippi,59
Utah,58
Florida,57
Maryland,56
Missouri,55
Virginia,54
Vermont,54
Arizona,53
Pennsylvania,52
Alabama,51
Nebraska,50
Tennessee,50
Texas,49
Kansas,48
West Virginia,48
Michigan,47
Idaho,46
Ohio,45
Nevada,45
Louisiana,45
Kentucky,44
Montana,43
North Dakota,43
Iowa,43
Colorado,42
Oklahoma,41
Wisconsin,40
Washington,40
Alaska,40
Indiana,40
California,39
South Dakota,39
Minnesota,38
Oregon,36
New Mexico,30
Arkansas,30
Wyoming,23
Hawaii,20
