Region,The Walt Disney Company: (2020)
Florida,100
Utah,69
California,61
New Hampshire,60
Rhode Island,60
New Jersey,59
Hawaii,59
Pennsylvania,56
Indiana,56
Delaware,55
Arizona,55
Connecticut,54
Kentucky,53
Nevada,53
Massachusetts,53
Alabama,52
West Virginia,52
Louisiana,52
Ohio,52
Illinois,51
Tennessee,50
Wisconsin,50
Idaho,50
New York,50
Maine,49
Maryland,49
South Carolina,49
Michigan,48
Virginia,48
North Carolina,48
Nebraska,48
Missouri,47
Washington,47
Georgia,47
Colorado,46
Wyoming,46
Oklahoma,46
Texas,46
Kansas,45
Minnesota,45
Oregon,45
New Mexico,44
Iowa,44
Mississippi,44
South Dakota,43
Arkansas,43
Alaska,42
North Dakota,42
Montana,41
Vermont,41
District of Columbia,34
