Region,CVS Health: (2020)
Rhode Island,100
Massachusetts,73
District of Columbia,71
Connecticut,69
Indiana,62
Florida,57
South Carolina,56
Pennsylvania,56
Maryland,55
New Jersey,53
Virginia,51
Nevada,50
Arizona,49
Georgia,48
North Carolina,46
Texas,46
West Virginia,45
Ohio,45
New Hampshire,44
New York,41
California,40
Michigan,38
Illinois,38
Louisiana,36
Missouri,36
Alabama,35
Delaware,32
Kansas,30
Tennessee,29
Oklahoma,28
Kentucky,26
Maine,26
North Dakota,25
Minnesota,24
Mississippi,23
Hawaii,22
Vermont,21
Nebraska,21
New Mexico,20
Wisconsin,19
Montana,15
Iowa,14
Utah,13
Arkansas,12
Colorado,11
Washington,8
Oregon,6
South Dakota,6
Idaho,6
Alaska,5
Wyoming,4
