Region,Procter & Gamble: (2020)
Ohio,100
West Virginia,72
Kentucky,59
Missouri,45
Iowa,44
Wisconsin,42
Pennsylvania,37
Massachusetts,36
Arkansas,36
Delaware,36
Illinois,35
Georgia,35
North Carolina,35
South Dakota,34
New Jersey,34
Indiana,32
Maryland,32
Kansas,31
Louisiana,30
South Carolina,30
Connecticut,30
New Hampshire,30
New York,29
Tennessee,28
District of Columbia,28
Maine,28
Virginia,28
Florida,28
Rhode Island,27
California,26
Idaho,25
Alabama,25
Utah,25
Texas,24
Arizona,23
Vermont,23
Montana,23
Michigan,22
Nebraska,21
Hawaii,21
Minnesota,20
Colorado,19
Washington,19
Oklahoma,19
Nevada,18
Oregon,17
Mississippi,16
New Mexico,14
Wyoming,13
Alaska,13
North Dakota,12
