Region,PepsiCo: (2020)
Idaho,100
Iowa,91
Indiana,85
Wyoming,80
West Virginia,75
North Dakota,74
Ohio,74
Delaware,73
Missouri,73
Kansas,72
Illinois,72
Nebraska,71
Oklahoma,71
South Carolina,70
Kentucky,69
Arkansas,67
Montana,65
North Carolina,65
Virginia,64
Michigan,64
Pennsylvania,64
Tennessee,61
Rhode Island,60
Connecticut,59
Nevada,59
New York,59
South Dakota,58
Wisconsin,57
Florida,56
Minnesota,56
Georgia,56
Maine,55
Colorado,54
Utah,54
Vermont,52
Alabama,52
Arizona,51
Hawaii,51
Maryland,51
Texas,51
Oregon,49
New Jersey,49
Washington,49
New Mexico,49
California,45
New Hampshire,45
Massachusetts,44
Alaska,43
Mississippi,41
District of Columbia,38
Louisiana,37
