Region,Humana: (2020)
Kentucky,100
Louisiana,45
Florida,45
Mississippi,31
West Virginia,29
Georgia,29
Tennessee,27
South Carolina,25
Alabama,24
Wisconsin,23
Indiana,23
Arizona,22
Montana,21
Texas,21
Kansas,20
Virginia,20
Arkansas,20
Nevada,19
Oklahoma,19
Ohio,19
Missouri,18
North Carolina,18
Illinois,18
Minnesota,16
South Dakota,15
North Dakota,14
Colorado,14
Michigan,13
New Mexico,13
Delaware,12
Hawaii,12
Utah,11
Nebraska,10
Iowa,10
Pennsylvania,10
New Hampshire,10
Oregon,10
Maryland,10
Maine,9
Washington,9
Idaho,8
New York,8
District of Columbia,8
New Jersey,8
Wyoming,8
Massachusetts,8
California,7
Vermont,6
Connecticut,5
Rhode Island,5
Alaska,4
