Region,Prudential Financial: (2020)
New Jersey,100
Connecticut,66
North Carolina,56
New York,55
Hawaii,50
Pennsylvania,45
Massachusetts,38
South Carolina,35
Vermont,35
Iowa,35
North Dakota,34
West Virginia,33
Illinois,32
Montana,31
Maine,31
Missouri,29
Rhode Island,29
Indiana,28
Louisiana,28
Michigan,28
Florida,27
Delaware,27
Virginia,26
Minnesota,26
Maryland,26
Nevada,26
Wisconsin,25
Ohio,25
Tennessee,25
Alabama,25
Nebraska,23
New Hampshire,22
District of Columbia,22
California,22
Arizona,22
Kentucky,22
Georgia,21
Utah,21
Alaska,21
Texas,19
Kansas,19
Colorado,19
Mississippi,18
Oregon,18
Idaho,18
Oklahoma,18
Washington,17
New Mexico,16
Wyoming,16
South Dakota,15
Arkansas,14
