Region,ADM: (2020)
North Dakota,100
Iowa,87
Nebraska,71
Alaska,57
Illinois,46
Minnesota,42
Kansas,32
Missouri,24
South Dakota,20
Kentucky,17
Indiana,17
Louisiana,14
Wisconsin,13
Ohio,11
Tennessee,9
Wyoming,9
Oklahoma,9
Montana,8
Rhode Island,8
Arkansas,8
Georgia,8
District of Columbia,7
Mississippi,7
North Carolina,7
Virginia,6
Maryland,6
Michigan,6
New York,6
Texas,6
California,6
Idaho,5
Oregon,5
Vermont,5
Washington,5
Colorado,5
New Jersey,5
Florida,5
Massachusetts,5
Utah,5
Pennsylvania,5
Arizona,4
Hawaii,4
South Carolina,4
Connecticut,4
New Hampshire,4
Alabama,3
New Mexico,3
Delaware,3
Nevada,3
Maine,2
West Virginia,2
