Region,Albertsons: (2020)
Idaho,100
Montana,87
New Mexico,69
Wyoming,66
Nevada,58
Oregon,24
Arizona,23
Louisiana,22
California,16
Washington,15
Texas,10
Utah,9
North Dakota,7
Colorado,4
Alaska,2
Arkansas,2
District of Columbia,2
Hawaii,1
Illinois,1
Maine,1
Massachusetts,1
New Hampshire,1
Oklahoma,1
South Dakota,1
New York,1
Rhode Island,1
Minnesota,1
Delaware,1
Maryland,1
New Jersey,1
Vermont,1
South Carolina,1
Florida,1
Virginia,1
Mississippi,1
Pennsylvania,1
Kansas,1
Georgia,1
Missouri,1
Alabama,1
Ohio,1
Iowa,<1
Tennessee,<1
North Carolina,<1
Connecticut,<1
Wisconsin,<1
Michigan,<1
Indiana,<1
Kentucky,<1
Nebraska,<1
West Virginia,<1
