Region,Sysco: (2020)
Montana,100
North Dakota,87
Nebraska,73
Maine,69
Wyoming,65
Alaska,65
Arkansas,61
Idaho,56
Hawaii,56
Minnesota,55
Mississippi,53
Kansas,53
Tennessee,50
Wisconsin,50
New Mexico,48
Louisiana,47
Texas,46
South Dakota,46
Florida,45
Virginia,45
Georgia,44
Colorado,44
Nevada,42
Oregon,42
Delaware,42
Alabama,40
New Hampshire,40
Maryland,39
Illinois,38
Oklahoma,37
South Carolina,37
Iowa,36
Missouri,36
Utah,35
Michigan,34
Connecticut,34
North Carolina,34
Rhode Island,33
Kentucky,33
Arizona,32
Massachusetts,31
California,31
Washington,30
District of Columbia,29
Ohio,28
New Jersey,28
Indiana,26
New York,26
Pennsylvania,25
Vermont,25
West Virginia,22
