Region,Lockheed Martin: (2020)
Colorado,100
Maryland,72
Florida,65
District of Columbia,62
Connecticut,54
Texas,50
Alabama,49
Virginia,46
New Hampshire,46
Georgia,36
Pennsylvania,34
Arkansas,33
New Jersey,32
California,31
Hawaii,29
Delaware,28
Arizona,27
Kansas,26
Washington,25
New York,25
South Carolina,25
New Mexico,23
Kentucky,23
Utah,22
Massachusetts,22
Vermont,22
Oklahoma,21
Nevada,21
Louisiana,20
Missouri,19
North Carolina,19
Rhode Island,18
Mississippi,17
North Dakota,17
Illinois,17
Iowa,16
Ohio,16
West Virginia,16
Minnesota,15
Alaska,15
Tennessee,14
Indiana,14
Oregon,14
Michigan,13
Wyoming,13
Montana,13
Wisconsin,12
Nebraska,12
Maine,11
Idaho,11
South Dakota,7
