Region,Hewlett-Packard: (2020)
New Mexico,100
South Dakota,95
New York,94
North Dakota,92
Texas,90
Maryland,90
Virginia,90
Hawaii,89
Idaho,89
Connecticut,89
New Hampshire,86
Delaware,86
Florida,86
South Carolina,86
New Jersey,85
Arizona,85
California,84
West Virginia,84
Georgia,83
Massachusetts,83
Vermont,83
Oregon,83
Wisconsin,83
Kansas,83
Alabama,82
Iowa,82
Montana,82
Mississippi,82
Nevada,81
Oklahoma,81
Illinois,81
District of Columbia,81
Minnesota,81
Colorado,81
Louisiana,81
Pennsylvania,80
Wyoming,80
Tennessee,79
Arkansas,79
Michigan,79
Utah,79
Kentucky,79
North Carolina,78
Missouri,78
Indiana,78
Washington,77
Alaska,76
Nebraska,75
Ohio,75
Maine,75
Rhode Island,73
