Region,Energy Transfer Partners: (2020)
North Dakota,100
Texas,80
Louisiana,55
Oklahoma,52
Delaware,39
Connecticut,33
Pennsylvania,32
Wyoming,30
Kansas,28
New Mexico,27
Montana,27
New Jersey,26
Missouri,26
Vermont,24
Colorado,24
District of Columbia,23
Ohio,23
Massachusetts,23
Hawaii,22
Indiana,22
West Virginia,21
New York,21
Iowa,20
Illinois,20
Florida,19
Idaho,18
Nevada,16
California,16
North Carolina,16
Alabama,15
Michigan,15
Oregon,15
Washington,14
South Carolina,14
Minnesota,14
Maryland,13
Nebraska,12
Tennessee,12
Rhode Island,12
Mississippi,11
Georgia,10
New Hampshire,10
Virginia,10
Wisconsin,10
Alaska,9
Maine,7
Kentucky,7
Arizona,7
South Dakota,7
Arkansas,4
Utah,
