Region,Berkshire Hathaway: (2020)
Nebraska,100
Pennsylvania,43
Montana,42
Connecticut,34
Iowa,29
New Jersey,26
Delaware,26
Kansas,25
North Dakota,25
Missouri,22
Massachusetts,21
Illinois,21
Alaska,20
District of Columbia,20
New York,20
Indiana,20
Washington,20
Hawaii,19
Virginia,19
Michigan,19
Oregon,19
California,19
Wyoming,17
Ohio,17
Georgia,17
Colorado,17
Maine,17
Florida,17
New Hampshire,17
Minnesota,16
Nevada,16
Utah,16
Maryland,16
Arizona,15
Rhode Island,15
South Dakota,15
North Carolina,14
South Carolina,14
Idaho,14
Arkansas,14
Vermont,13
Texas,13
Alabama,13
New Mexico,13
West Virginia,12
Wisconsin,12
Louisiana,12
Tennessee,12
Kentucky,11
Oklahoma,10
Mississippi,7
