Region,Goldman Sachs: (2020)
New York,100
District of Columbia,94
New Jersey,82
Connecticut,58
Massachusetts,49
Utah,45
Illinois,37
Rhode Island,37
California,36
Virginia,35
New Hampshire,33
Delaware,33
Maryland,31
Florida,29
Texas,29
Pennsylvania,29
Colorado,28
Hawaii,27
Georgia,23
Arizona,23
Washington,23
North Carolina,22
Minnesota,22
Nevada,22
Ohio,21
Wyoming,20
West Virginia,20
South Carolina,19
Missouri,19
Vermont,19
Maine,19
Indiana,19
Michigan,19
Montana,19
Tennessee,19
Wisconsin,18
Oregon,18
Arkansas,17
Iowa,17
New Mexico,17
Louisiana,17
Alaska,16
Kansas,16
North Dakota,14
Alabama,14
Oklahoma,14
Nebraska,13
Idaho,12
Mississippi,12
Kentucky,11
South Dakota,11
