Region,Morgan Stanley: (2020)
New York,100
New Jersey,94
District of Columbia,93
Vermont,83
Connecticut,75
Delaware,64
Massachusetts,60
Rhode Island,52
Maryland,52
Hawaii,51
California,46
Florida,43
Illinois,40
Washington,40
New Hampshire,39
Maine,38
Pennsylvania,38
Virginia,37
New Mexico,31
Colorado,30
South Carolina,30
North Carolina,29
Idaho,29
Missouri,28
Nevada,28
Arizona,28
Louisiana,27
Minnesota,27
Oregon,27
Wisconsin,27
Georgia,26
Michigan,25
Ohio,25
Alabama,24
Utah,23
Texas,23
Kansas,22
Montana,22
Indiana,21
Wyoming,20
Tennessee,19
Alaska,19
Kentucky,19
Nebraska,19
Iowa,18
Arkansas,17
Oklahoma,16
South Dakota,16
West Virginia,15
Mississippi,14
North Dakota,10
