Region,Caterpillar Inc.: (2020)
North Dakota,100
Wyoming,78
Montana,77
South Dakota,68
Alaska,67
Iowa,56
Illinois,55
Nebraska,52
West Virginia,51
Idaho,49
Minnesota,45
Kansas,45
Mississippi,44
Maine,43
Missouri,42
Kentucky,42
Wisconsin,42
Vermont,42
Arkansas,40
Utah,39
Indiana,39
Oklahoma,37
North Carolina,36
New Hampshire,36
Alabama,36
Texas,35
Tennessee,35
Louisiana,34
New Mexico,33
New York,32
Colorado,32
Georgia,31
Michigan,31
Ohio,30
Oregon,30
Pennsylvania,30
South Carolina,30
Arizona,27
Washington,26
Virginia,26
Florida,25
Hawaii,24
Rhode Island,24
Connecticut,24
Massachusetts,23
Nevada,23
New Jersey,22
California,21
Maryland,20
District of Columbia,19
Delaware,18
