Region,Cisco Systems: (2020)
New York,100
District of Columbia,91
North Carolina,88
Virginia,72
Alaska,65
California,62
Maryland,60
Hawaii,59
Colorado,56
New Jersey,52
Texas,51
Massachusetts,51
Minnesota,51
Illinois,50
South Dakota,49
New Hampshire,49
Nebraska,49
Arizona,45
Wisconsin,45
Missouri,45
Georgia,44
Washington,43
Connecticut,43
Kansas,42
North Dakota,41
Wyoming,41
Florida,41
South Carolina,40
Utah,40
Iowa,39
Oregon,38
Idaho,38
Ohio,38
Indiana,38
Tennessee,37
Oklahoma,37
Pennsylvania,36
Rhode Island,36
Nevada,36
West Virginia,35
Delaware,34
Alabama,34
Montana,34
Michigan,33
Maine,33
Arkansas,32
Kentucky,30
Mississippi,30
New Mexico,29
Vermont,28
Louisiana,27
