Region,Pfizer: (2020)
Connecticut,100
New Jersey,90
Massachusetts,86
Rhode Island,77
District of Columbia,68
New York,67
Michigan,62
Maryland,60
Pennsylvania,60
New Hampshire,60
Illinois,58
California,57
Vermont,54
Missouri,53
Hawaii,53
Delaware,51
Florida,51
Kansas,51
Virginia,51
North Dakota,50
Minnesota,50
Colorado,50
Washington,49
Wisconsin,48
New Mexico,48
North Carolina,48
Maine,47
Arizona,45
Nevada,44
Alaska,42
Nebraska,42
Indiana,42
South Dakota,42
Ohio,41
Texas,41
West Virginia,41
Oregon,40
Iowa,40
Georgia,39
Montana,39
Tennessee,39
Utah,37
South Carolina,37
Arkansas,37
Oklahoma,35
Wyoming,34
Kentucky,34
Louisiana,33
Idaho,33
Alabama,31
Mississippi,27
