Region,HCA Healthcare: (2020)
Tennessee,100
Texas,49
Florida,45
Nevada,41
Kansas,39
Virginia,37
New Hampshire,28
Colorado,27
Utah,27
Missouri,25
Alaska,20
South Carolina,20
Georgia,19
Idaho,15
Louisiana,14
Washington,12
Kentucky,12
District of Columbia,9
North Carolina,8
California,8
Alabama,7
Maine,7
Massachusetts,6
Wyoming,5
West Virginia,5
Oklahoma,5
Indiana,5
Connecticut,5
Nebraska,5
Maryland,4
New York,4
Illinois,4
Mississippi,4
New Mexico,4
New Jersey,4
Arizona,4
Minnesota,3
Pennsylvania,3
Arkansas,3
Ohio,3
Rhode Island,3
Oregon,3
Delaware,3
Michigan,3
Wisconsin,3
Hawaii,2
Iowa,2
South Dakota,2
Montana,2
North Dakota,2
Vermont,
