Region,American International Group: (2020)
New Jersey,100
Connecticut,73
New York,72
North Carolina,60
Georgia,57
Tennessee,56
Delaware,56
Texas,52
New Hampshire,52
Florida,51
Pennsylvania,51
Mississippi,50
Alabama,49
West Virginia,48
Louisiana,47
Vermont,47
Rhode Island,47
Kansas,47
Illinois,46
South Carolina,45
Massachusetts,45
Virginia,44
California,43
Indiana,43
District of Columbia,43
Missouri,43
North Dakota,40
Hawaii,38
Wisconsin,38
Maryland,37
Kentucky,34
Arkansas,34
Montana,34
Ohio,32
Idaho,32
Arizona,31
Michigan,31
Colorado,30
Utah,30
Washington,28
Minnesota,27
Oregon,27
New Mexico,26
Maine,26
Nevada,26
Iowa,26
Oklahoma,24
Nebraska,23
Alaska,21
South Dakota,19
Wyoming,4
