Region,American Express: (2020)
New York,100
District of Columbia,92
New Jersey,84
Connecticut,78
Florida,75
Georgia,69
Utah,67
Massachusetts,65
Hawaii,62
California,59
Minnesota,57
Virginia,57
Arizona,56
Nevada,54
Maryland,54
Rhode Island,53
New Hampshire,52
Montana,51
Delaware,51
South Carolina,51
Michigan,50
Louisiana,49
Texas,47
Colorado,46
Alabama,46
North Carolina,46
Pennsylvania,45
Tennessee,45
Mississippi,45
Illinois,42
Vermont,42
Washington,42
Kentucky,41
Arkansas,41
North Dakota,41
Idaho,38
New Mexico,38
Maine,38
Ohio,37
Oklahoma,36
Alaska,35
Missouri,34
Indiana,34
Wyoming,34
Wisconsin,33
Oregon,33
Kansas,31
Nebraska,29
South Dakota,29
West Virginia,26
Iowa,26
